Read	ReadCov:RAW	ReadCov:PHMM
0112e954-3cb5-47bb-adf8-0bc97b722951	73.206	99.136
0117e46f-8f1d-44d5-9c58-959d4d2b6428	92.518	99.293
011a065f-4789-4613-b2c0-a12b6801b8c2	73.740	99.179
011b2b51-cd30-4b9b-a567-991b71e1b008	79.288	96.296
011f08ab-5abd-4d42-94bb-f0a4e8745c67	82.049	100
012a20fe-feb4-4168-992a-0475e21d2126	78.524	99.664
012ba99e-5972-49f7-a356-63253eb015f7	77.861	98.853
012e55f8-9cf9-4fa5-a688-655353138037	86.906	99.732
012f57fe-f231-4096-876d-f7e7e7ab3f37	91.256	98.185
01359ba3-b379-4b15-8354-5db595d822b4	86.688	99.819
01369e0c-3d55-4b4b-ae3b-a156b8ac0d67	82.613	99.480
0142195d-0235-42b0-b8e1-553b2ac250f5	87.415	99.827
0146d85c-05c1-4e7e-827d-79a70b4bf4ec	90.369	99.803
01474091-e40a-48a2-b20f-5c6ad39dd640	74.576	99.177
0148b237-d17b-4579-80a8-24a8de1bfd11	77.612	99.478
014d2d81-e974-420f-844e-ddd094ee5ac0	77.778	99.126
014d541f-5f94-495e-83e0-eb1681db8a0d	86.848	99.632
014fe8db-57a6-41fb-b372-871184644304	73.507	98.160
015261e5-c5ff-49e1-aeed-1695ccd2a7f1	92.051	99.506
015674e2-8887-4470-8b5e-e9ff904c392b	90.942	99.935
0164f198-b952-445c-9979-aa4a4c7eba6c	76.287	98.940
01672148-325d-4ab2-969e-5bc705629005	94.096	99.603
016767e5-4ff3-4c58-bc05-a6e30d26d50f	79.573	99.498
0167d0e8-98eb-4337-93af-a0aec8d250ef	79.196	99.304
0172aa14-e86d-4c4d-84db-55e70e6a0e27	76.658	98.969
0178b6fa-9a42-4663-9809-e91395e15c7f	93.236	99.853
017cb5b9-38da-4ef5-ae03-f741643d9e29	81.094	99.416
017d22e0-34a3-4d53-b243-a5b0e5fb7096	76.610	98.480
0181c91d-e4df-4854-aea9-756b524251c4	77.899	99.651
0186287a-b3ff-41c7-9ffa-be5d85da9d39	73.869	98.420
018b1437-f59e-4353-ac7f-a4303c75cc3f	76.828	97.891
018dd89b-5196-4f94-93ae-a5a1fbb97c56	92.449	99.851
019219c0-4f4b-4c44-a223-7e7e2870c2ef	73.424	100
0192dde5-e11e-4ad3-97a2-3cffc91c06ef	57.494	98.696
01963cd2-ed4b-4f17-a50d-5b6d2befdb2f	74.257	97.192
01973d87-25ec-48bd-9e15-1a5362f7fa37	74.960	99.570
019a24c3-d3ba-48f7-bb50-fe82504dab90	78.113	99.518
019caaf2-19f4-46dc-a575-a0c93ec87f68	75.179	98.868
019dd7fc-db5b-4543-aac9-131f992338f1	76.115	98.327
019fab7f-985b-460d-a74c-666058830c3c	81.889	99.595
01a80914-e7b3-4842-940d-984127eb9305	76.653	99.475
01a8b016-f889-4b65-a7e1-bf793f629e05	76.567	98.596
01ada1c1-8aa8-4b3d-a5db-610e5f33c43b	82.535	99.743
01b2674b-4d88-4741-a7aa-45d61ea98e39	73.206	99.783
01b86dbe-1e1f-498b-b139-049e93e80cad	75.837	96.660
01b9838e-2928-408b-9fb8-187f010ba95a	77.030	97.432
01badc36-8cde-4595-9dde-63c597916e21	76.099	99.460
01bd2e8f-929d-4259-8a4d-d0b1d25b4b6d	76.062	99.628
01bec296-7788-41dd-b38d-a3ad72e8059c	74.860	99.443
01c1f6d1-9dbb-4503-a641-a6338352158c	72.943	99.351
01c25253-5231-4d91-b26a-6fa3d1f408ac	88.306	98.967
01c33c11-bf48-4784-800a-b02d0211a0df	80.361	99.404
01c3d8c3-91c3-4a71-8927-f7df469098cd	73.795	98.592
01ca1178-7489-4970-9bc9-e2b478be8331	74.684	97.970
01cdf7e9-0d89-4e42-8d52-5c3dc80fa5ff	77.483	98.976
01d00ee6-58d7-4f47-bcc8-712df947fd5c	74.659	98.788
01d53cba-d26b-47ba-9198-c50b50cb9c23	71.903	98.753
01d8e1e1-23c2-4dfa-9fe3-84cf2187f86f	78.082	99.825
01d94f55-0efb-4f53-bb13-af94d0a5fbbd	86.570	99.535
01da25a6-2d4d-49b1-838d-c675c52701a3	72.578	93.816
01f7b6ba-087c-41c3-9062-e0af817249e7	76.903	99.135
01f8039e-0c49-43ee-9e82-89c1711e2114	77.593	91.995
01fa9b30-ea5c-4abe-8bf5-1976c0ee0511	81.220	99.850
01fc0e24-f8f0-4412-8a81-ad8bbe137904	74.433	99.393
0200a548-a248-41cf-88b4-11ddfc1491c6	77.083	98.579
02015a23-b767-43e3-b93d-011ac28553c7	74.611	99.792
0203def1-80c6-4ce6-935c-757fdb0cfb9b	76	98.561
02049930-9555-4267-b961-638a4ddaf6a8	77.217	98.778
02054272-62dc-4b2d-84b6-3569e98290ce	74.745	99.033
020a4a65-3f55-4e2c-be7b-8974a9cb9047	78.966	99.420
020c2ad6-ba17-4613-a714-f5381892f9c0	77.641	99.473
0218241a-504d-4265-918b-2994c8e099dc	70.904	97.674
021c5428-37e5-46b2-b560-d064e376c26b	77.107	97.980
02263725-82a2-4949-a4a4-0c0b5af6744c	74.881	92.636
02294f8e-2a6a-4b09-b2db-5e4760014356	72.392	99.558
022c6dc0-1477-4c99-9813-d80575b0fb00	77.181	99.826
023a536e-225b-45cd-b473-9ac04880a7f0	86.210	99.364
023b9702-e4db-429d-a5cd-e8bd8f964a34	83.687	99.655
0240df9b-4f6d-4b99-9b79-0e7682dcfefb	82.150	99.620
02437027-6cc5-408a-bf32-f6c540cd3536	82.447	99.105
0245e0b1-1276-4154-9109-0baf790d3e48	75	98.554
0246a623-af70-4db1-8a8f-c98f2ddb3467	83.786	96.327
0246f1f1-4af3-400d-acc7-ae6e5cc53665	73.817	98.941
0248b78f-9924-4ded-bead-776b3380003f	75	99.405
024b55b1-f7d2-4ffe-8003-b06359a36221	61.598	100
024c5279-f59b-436d-b722-14b92320be0b	73.077	96.681
024cbf44-15e6-4a83-a283-278e230ba74b	74.399	98.134
024fc1b0-74b3-4e9f-899e-585b6a961527	74.806	98.967
025050eb-3a2a-4b63-b494-3d7e30813963	87.092	99.364
0250e02f-a5fa-4001-a49d-a197dfe3872a	76.438	99.288
0250f091-bc2d-4bec-aeae-dc02b30e3e8c	82.303	98.595
025242d5-e4fd-4177-94e8-7b536ef605b8	73.940	99.788
0252b72a-1168-4ce8-9ff5-adf4ede9365a	78.005	98.387
02537168-318d-4f09-9552-fef404c0c418	72.769	97.764
025e7599-7971-4691-a077-58514bd163f6	82.255	99.620
0261b054-0768-4742-a709-649edeeccad8	71.061	96.107
02625dfa-100a-48e7-a8b4-8eff31ad249b	77.823	99.652
02632185-308e-4048-ae1f-66c948e98b8d	77.689	98.154
026c5d43-6553-4c50-bf54-3ba06417c748	74.650	99.792
026c867d-a31a-4945-9058-a23c398af517	81.320	98.974
026e9a58-00a2-4456-814d-ee55379601cb	89.248	99.151
02703cbb-4d45-410a-b0a6-b14c521e2658	76.129	98.121
0277de47-0b86-4ed6-9bfb-d6818f087386	74.962	98.988
02788f90-0842-4986-86c7-a597f2be7410	66.968	99.196
027c081a-0a88-4237-9449-ae4278aeed93	55.500	91.358
0285c882-8d25-4c4e-84a3-0cc5e9102a6d	74.588	98.367
0287a37e-2001-4859-9f81-d4af16d86102	81.998	99.244
028c97c5-e88f-48ad-bf13-8d80d4fbdc77	77.143	99.124
028cb403-6592-44cb-908c-e52d8137e3d1	71.164	98.829
029287db-8918-43ff-8fd0-306a986700fe	74.720	99.785
02941ecd-fb8d-4e4e-b15f-47869b8844b0	71.473	96.596
029ad2fe-bdbf-49e9-905d-29a4d71338a0	78.474	99.654
029d28d0-72ed-40a5-a74b-c4cb41727360	78.062	98.305
029e3fef-e4cb-485c-962f-9d17703e60fa	78	98.913
029ffea2-dde0-4254-b152-3a35998f212d	73.431	97.670
02a14c84-d2da-405b-8197-4a42780ca8d9	73.053	97.303
02a31d0b-82ca-4d81-8cd7-29a9d0355d82	76.463	96.965
02a4abe3-09c3-43ca-9aab-9e75758fc62b	79.932	98.594
