Read	RefCov
036bc3f7-ff9e-4d93-8310-7131975958c7	99.846
d33b60c6-57b5-4bee-b3c8-a0b371462d68	100
6f12db83-7e15-4fd3-a85b-150956b11b4c	99.846
f5082c6e-be99-4d10-a070-6ae461d4a42b	99.923
c7d30bef-cb53-42da-8da8-7b639a96250c	99.846
6e2566ca-4dae-4b45-8e31-c63f4b677a40	100
7274ed3b-ca70-4192-97a7-60e99496733c	100
13001764-26ed-40f5-a96e-cec983d359b7	99.846
1a425f1b-7c23-4ca3-b799-fbf7fb7a79ab	100
988e5b0b-34cb-4543-94b6-0c91f9166fb0	100
dbcb8602-608c-4555-ab7b-07e112fdb565	99.846
34d6ffc2-68b8-456b-8ea2-f171b6262d22	99.769
f34608b0-5715-4d38-b41a-eed7a747ca38	99.385
fe81a87e-829e-41b6-886d-351351ba11c4	100
e59297bc-07ac-4074-a6ce-fc26b426f997	99.462
6a3b925b-d73b-4934-9b86-d776bce57c3d	100
f4335fbd-8fd6-4964-b0ce-1853c13961e2	99.923
907c2139-9811-4e63-9766-be299f910f36	99.077
66b3a21c-4d77-440d-b792-0038334345f6	100
0718edf3-e9fc-425a-927e-45a17363b937	99.923
f408cbb4-2b88-4dae-a06a-e82dba664f43	99.846
d8121cba-5527-4885-bdcc-8f26adc96010	99.769
4f66bd2c-d47a-4d0a-ac73-69e02e62d7e8	100
941cde30-57d6-45ce-9349-c52756b87518	99.846
b294b596-cd79-4699-9cff-e2330403857a	99.846
543af2ac-0d10-4370-97b8-bcc02134c926	100
725f8c7d-35f8-46dc-9de4-f1d83bc3d2d3	100
03946e6b-61c7-4fa7-b1b6-c917564d5c4c	99.385
ae5faa4a-325b-4162-8b74-6b4f654652b9	99.538
a9e0a084-ae77-44ad-931d-18f3b277482d	99.846
a2e9405f-8fbc-4899-90b2-1049c06f898f	99.923
d184c3b1-36d1-4375-bba9-181f33616bc0	99.846
af613bf0-70da-43c9-bb73-ccf385696f53	100
249061d6-9d71-40b5-926c-2f0d57069af0	99.846
397354fd-5ec1-43d6-b157-9d46296614b6	100
820ff64a-2438-446f-83ca-312ea6400bc8	99.923
f2d8153c-b5e9-43d5-acf4-5cb06f911bab	99.923
f9f06784-5423-416c-859f-e5058c262866	99.923
5ccd3d37-861f-4266-8a16-943f9cc27d0c	100
46ffd06c-f9b4-4bef-9fd2-ffbdc1f5e900	100
b39e470f-2616-487e-b5e0-0552af78ac80	99.846
cb4541e3-136e-499e-ac35-bfa66bd07fbd	99.769
33b20f67-70ec-4109-a63c-5cd05735bab9	99.769
9f5665f5-c7ed-45de-ab6f-ff6f025242f2	99.692
c538f63c-cc58-461a-8b6c-1db5a68b8be6	99.615
efac7d48-dc9c-4472-a9e0-96682d9856e1	98.923
6b106e79-f8c5-4548-a0e4-d803326fa0c0	99.923
3b454e09-fa03-47c2-980d-21375fa812eb	99.692
652249c6-6b54-4e09-856e-9423f3eaf0bb	99.923
1460e9fe-4ec4-483d-ada1-016d4a65ca5e	99.769
d88ab8a6-8e9c-4263-bc86-ac167fe1938e	99.923
f1b64439-6cc6-42b8-bc92-98ad4e5c87cf	100
b706ef56-c68c-41b1-a7b5-cd28f6486ebe	99.692
ee2758a4-8322-4f7e-ab84-786f9a6aa956	99.923
b45a0ddb-bf87-4afd-8979-0c94b15fce4c	100
b58fca1c-c202-43d7-bf5b-83a2f185fa94	98.692
761bdba5-9e9f-478b-b852-81a60d4620c6	99.923
f906d809-d2b5-4456-a913-e5f916145a3d	99.923
c53f518e-91e4-49a2-b418-daf453bd0252	99.923
77c9130b-be3a-46df-92ef-df13a9b05124	99.846
cf77fd25-b30c-4254-a036-59b41623f743	100
53ff3a0b-829a-4b6a-8e00-9f1d16a7eee4	99.923
3089f4d6-0f4f-4bcf-92a3-f9ba17f01c21	100
b916e7d2-0e5e-4e49-9284-71c46f8ce32b	99.923
e04c5efb-2112-412b-b063-1db25ac59bab	100
7bce48c6-e9db-481a-9503-d411202a7aee	99.923
